Degree,Institution,Graduation Year,Experience (Companies),Skills
MBA,"Hall, Harvey and Byrd",2000,"Turner-Frazier; Lucas PLC; Hanson, Smith and Flores; Lang-Miranda; Simmons, Lowe and Smith","Mobile Development, Data Analysis, C++, Deep Learning, DevOps, AI, SQL"
PhD,Cantu-Wong,2009,Jackson-Brooks; Martin-Conrad; Myers Ltd,"AI, Project Management, Mobile Development, Java, Deep Learning"
B.Tech,Singleton-Grant,2007,"Phillips, Howell and Owens","Cloud Computing, Web Development, C++, Project Management, Blockchain, DevOps"
Diploma,Wilson-Cruz,2001,"Little and Sons; Spears Ltd; Hall, Gilbert and Wade","DevOps, SQL, Cybersecurity, Web Development, Project Management, Deep Learning, Python"
Diploma,Sanchez Inc,2015,Peterson PLC; Nicholson-Jones; Russell LLC,"Blockchain, DevOps, Web Development, Cloud Computing, C++"
B.Tech,"Maxwell, Collins and Wong",2000,"Flores Ltd; Murray, Williams and Butler; Armstrong-Ford; Jacobs and Sons; Williams, Stephenson and Payne","Mobile Development, Web Development, C++, Data Analysis, AI, Python, Cybersecurity"
Diploma,Taylor PLC,2023,"Hansen, Thompson and Lindsey","Project Management, Cloud Computing, Data Analysis, Blockchain, Machine Learning, C++"
M.Tech,Williams-Miller,2010,Price LLC; Martin-James,"Java, SQL, C++, Data Analysis, Python"
Diploma,"Lee, Martin and Rodriguez",2024,"Tapia, Craig and Gomez; Parsons and Sons","AI, Web Development, Deep Learning, Project Management"
Diploma,"Mcdonald, Mccarty and Moore",2016,"Durham, Turner and Salinas; Zuniga, Johnson and Smith; Cardenas-Miller","Python, Java, Mobile Development, Cloud Computing, Project Management, C++, Machine Learning"
PhD,Moore-King,2015,"Walker, Parker and Wood; Mcdowell and Sons","Data Analysis, C++, Deep Learning, Project Management, Blockchain, Web Development"
M.Tech,Cunningham Group,2022,White-Andrews,"Machine Learning, Web Development, Data Analysis, Deep Learning"
B.Tech,Jones Inc,2020,"Smith, Reilly and Black; Miller-Lewis; Edwards-Curtis; Stokes, Smith and Hughes","Python, Java, Mobile Development, Data Analysis, SQL"
M.Sc,Moore-Taylor,2018,"Rodriguez, Taylor and Mckinney; Powers-Ruiz","Blockchain, Mobile Development, Cloud Computing, Cybersecurity, SQL"
M.Tech,White-Wilcox,2014,Carr Ltd,"Machine Learning, C++, Mobile Development, Deep Learning, Cloud Computing, Cybersecurity, AI"
Diploma,"Garcia, Bautista and Johnson",2022,"Burton and Sons; Allen-Thompson; Young, Taylor and Bradford; Hampton PLC","Mobile Development, SQL, Cybersecurity, Machine Learning, Project Management"
MBA,Malone-Bell,2024,Johnston Ltd,"DevOps, Project Management, AI, Web Development, Java, C++, Machine Learning"
M.Tech,"Copeland, Davis and Carpenter",2020,"Villanueva, Good and Lowe","Mobile Development, Data Analysis, Project Management, DevOps, SQL"
B.Sc,"Acosta, Wang and Dixon",2021,Carroll LLC,"Python, C++, AI, Blockchain, Data Analysis, SQL, Cybersecurity"
Diploma,Hill Group,2010,"Knight, Davis and Hammond; Lee, Cruz and Shaw; Edwards-Pope; Rosario-Howard; Harvey-Romero","DevOps, Cybersecurity, Web Development, Project Management, Data Analysis, Java, AI"
M.Tech,Hoffman-Holmes,2024,"Clark, Jones and Weaver; Caldwell LLC","Data Analysis, Cybersecurity, Python, Cloud Computing, Mobile Development, Deep Learning, SQL"
M.Tech,Herrera-Flores,2017,"Carter Ltd; Richardson-Kline; Watkins, Sherman and Nelson; Mcdonald, Stephenson and Smith","Web Development, Java, Cloud Computing, Cybersecurity, Blockchain"
M.Sc,"Underwood, Jones and Strong",2015,Hayes-Lee,"Blockchain, Mobile Development, AI, Deep Learning, Data Analysis, Cybersecurity, Java"
B.Tech,"Bradshaw, Thomas and Freeman",2015,"Henry-Smith; Taylor-Hicks; Herring, Sanders and Hunter","Java, Project Management, SQL, Deep Learning"
B.Tech,"Clark, Thompson and Miller",2024,Craig-Moore; Johnson-Cook; Lewis Ltd; Howell-Coleman; Miller-Sanchez,"Machine Learning, Cloud Computing, DevOps, Data Analysis, Mobile Development, Deep Learning"
B.Sc,Robinson Inc,2008,"Howard, Newton and Mitchell; Caldwell-Cunningham","AI, Machine Learning, Project Management, Web Development, Deep Learning"
PhD,Olson LLC,2020,Taylor Group; Reynolds PLC,"Machine Learning, Mobile Development, Python, Deep Learning, Cloud Computing"
Diploma,"Neal, Turner and Stephenson",2002,"Thomas, Curtis and King; Spence, Valdez and Payne; Stone and Sons; Hart Ltd","Mobile Development, Blockchain, Python, Cloud Computing, AI, C++"
MBA,"Evans, Pacheco and Kennedy",2020,"Young, Decker and Freeman","SQL, Java, Machine Learning, Python"
MBA,"Cook, Fischer and Brown",2017,"Parker, Huang and Hernandez; Small-Hill; Lee and Sons; Fisher LLC","Java, Machine Learning, Cybersecurity, AI, DevOps, Blockchain, Cloud Computing"
Diploma,Gomez LLC,2000,Rowland Ltd,"Python, Data Analysis, Project Management, Cybersecurity, Deep Learning, SQL, Cloud Computing"
Diploma,Lewis-Jones,2003,"Green PLC; Moore, Gutierrez and Wilson; Weber Inc; Reed PLC; Lynch LLC","Web Development, Mobile Development, AI, Deep Learning"
M.Tech,Meadows PLC,2016,"Vargas, Carpenter and Smith; Kelley Group; Gross Group; Day-Parks; Foley PLC","Project Management, SQL, Data Analysis, Cybersecurity"
B.Tech,Ford LLC,2013,Jones-Lyons; Owens and Sons; Wiggins-Lynn; Yu-Murray,"Project Management, AI, Python, DevOps, Mobile Development, Java, Machine Learning"
M.Sc,Pace-Anderson,2017,"Cook, Harrington and Smith; Pratt Ltd; Gutierrez-Mccormick; Bauer-Fuller","AI, Java, SQL, Web Development"
PhD,Giles-French,2023,"Reed, Turner and Rivera; Glenn PLC; Price-Sanders","Blockchain, DevOps, Deep Learning, Cloud Computing, Python"
B.Sc,Miller-Brennan,2007,"Morales Group; Adams, Wright and Baker; Anthony, Francis and Washington; Rojas Ltd; Lopez, Branch and Lopez","C++, Java, Mobile Development, Data Analysis, Deep Learning, Python"
MBA,Cook Inc,2015,"Gibbs, Holt and Gay","Web Development, DevOps, Blockchain, Deep Learning"
M.Sc,"Hansen, Jones and Chandler",2024,"Oconnor, Smith and Meyer; Powell-May; Parker LLC; Nelson PLC","Web Development, Java, Blockchain, C++, Machine Learning, SQL"
MBA,Sullivan Inc,2024,"Alvarez PLC; Rose, Guzman and Cruz; Anderson and Sons; Tyler Ltd; Green-Roy","Java, Blockchain, Cybersecurity, C++, Deep Learning"
PhD,"Reynolds, Andrews and Prince",2010,"Henry-Hicks; Cox Ltd; Spencer-Mendoza; Whitehead, Burke and Ware; Stewart-Ryan","Data Analysis, C++, Mobile Development, Cybersecurity, SQL, AI, Project Management"
Diploma,Terrell-Ellis,2006,"Ramirez, Atkins and Wilson; Arnold Group; Le Ltd","AI, Data Analysis, Mobile Development, Deep Learning, SQL"
PhD,"Parks, Davis and Butler",2006,Gibson and Sons,"Python, Cloud Computing, Data Analysis, C++"
B.Tech,Knox-Johnson,2019,"Brown-Greer; Hayes-Steele; Walker, Johnson and Evans","AI, Mobile Development, Web Development, Python"
M.Sc,Butler-Ferguson,2021,"James-Harris; Miller-Walters; Gonzales Ltd; Mendoza, Gonzalez and Cruz; Sims Group","Deep Learning, C++, DevOps, AI"
MBA,Garrett LLC,2018,"Odom, Clay and Cook; Hayes LLC; Stokes, Nelson and Miller; Shannon Inc; Fox and Sons","Cloud Computing, AI, Data Analysis, DevOps"
M.Sc,Nunez and Sons,2001,Mosley Ltd,"Project Management, Mobile Development, Machine Learning, Cybersecurity"
B.Sc,"Martin, Moore and Cooley",2023,"Hughes and Sons; Roth, Baker and Wang; Jackson, Lindsey and Cobb; Freeman PLC; Harmon, Woodard and Edwards","Data Analysis, Project Management, Mobile Development, Python, DevOps, Cybersecurity, Web Development"
M.Sc,Martin and Sons,2023,"Mccarthy-Lopez; Hayden Group; Davidson, Chavez and Calderon; Wilson, Gonzalez and Smith","Mobile Development, Web Development, Cloud Computing, SQL, DevOps, Blockchain, C++"
M.Sc,Hawkins LLC,2015,Cooper LLC,"Python, Machine Learning, Deep Learning, SQL"
Diploma,"Andrews, Gonzalez and Sweeney",2010,"Miller, Watts and Randall; Potter, Palmer and Lopez; Moore-Kennedy; Blankenship, Murphy and Carter; Lynn-Garcia","Cloud Computing, Deep Learning, Data Analysis, Cybersecurity, Python, Mobile Development, Project Management"
M.Tech,Garner Inc,2017,"Fernandez-Jones; Wiggins-Roberts; Stone, Phillips and Morrison; Pruitt, Keller and Holloway","Mobile Development, Java, DevOps, Web Development, SQL"
B.Tech,Harrell-Foster,2023,"Wright-Walters; Campbell, Hanson and Lin; Jenkins, Paul and Coleman","Python, Machine Learning, DevOps, Web Development"
M.Tech,Thompson and Sons,2002,"Scott, Douglas and Collins; Kelley-Lopez","Data Analysis, Web Development, Java, Cloud Computing, Python, Blockchain"
M.Sc,Hernandez-Anderson,2024,"Baker LLC; Williams, Harper and Garcia; Orozco, Salazar and Hall","Web Development, Python, Java, C++, Machine Learning, Cloud Computing"
M.Sc,"Young, Edwards and Collins",2010,"Hernandez, Mitchell and Santos; Lang-Miller; Holmes Inc; West-Kirby; Petty Group","Machine Learning, Deep Learning, Cloud Computing, SQL"
M.Sc,Johnson LLC,2024,"Williams LLC; Patrick, Powell and Keller","Cloud Computing, SQL, C++, AI, DevOps"
B.Sc,Stevens Ltd,2017,"Vaughan, Nelson and Carter; Molina, Peterson and Garrett; Moses and Sons; Peterson, Hendrix and Smith; Gonzales, Conway and Silva","Web Development, Mobile Development, Project Management, Deep Learning, DevOps"
M.Sc,Johnston PLC,2014,"Pace-Evans; Perez Ltd; Anderson, Gonzales and Taylor; Hill Inc; Brady-Henson","Cybersecurity, Java, C++, Cloud Computing"
B.Sc,Gonzalez Ltd,2002,Miles-Nelson; Grimes LLC,"Web Development, C++, Machine Learning, Data Analysis"
M.Sc,Santiago-Perez,2013,"Ferguson PLC; Cortez, Wells and Bullock; Harris, Anderson and Frazier; Bennett LLC; Bennett Group","SQL, Blockchain, Python, Data Analysis, C++, DevOps"
B.Tech,Pope PLC,2020,"Cooper Inc; Christian, Ramirez and Rogers; Farrell-Pitts","Cloud Computing, Project Management, Data Analysis, Cybersecurity"
MBA,Barker-Miranda,2022,"Richardson PLC; Brown-Walters; Vasquez-Cook; Rodriguez, Olson and Bishop","Blockchain, Java, AI, Mobile Development, Cloud Computing, Machine Learning"
M.Sc,"Carrillo, Ramsey and Lopez",2021,"Johnson, Diaz and Conley","AI, Python, Project Management, Cybersecurity, Blockchain, SQL, Data Analysis"
B.Tech,"Ferguson, Hunt and Clark",2019,Carroll-Collins; Wise-Ramirez; Lewis PLC; Bernard Group,"Cybersecurity, Blockchain, Project Management, C++"
Diploma,Baldwin-Smith,2013,"Cardenas Inc; Tucker, Elliott and Stanley","Python, AI, Mobile Development, Web Development, Machine Learning, Project Management, Deep Learning"
M.Sc,"Salinas, Lynch and Hampton",2007,"Baldwin, Simmons and Tran; Rodriguez-Hernandez; Burgess-Bailey; Wilson Ltd; Thomas-Berger","DevOps, Cybersecurity, Mobile Development, Cloud Computing"
PhD,"Gregory, Beard and Cannon",2014,"Brown, Jones and Johnson; Ruiz LLC; Olsen Group; Oliver, Rodriguez and Jones","SQL, AI, DevOps, Web Development, Cybersecurity, Data Analysis, Cloud Computing"
M.Sc,Ramirez-Beard,2001,"Steele, Williams and Rodriguez; Cole-Moore; Schroeder Inc","Python, Cloud Computing, SQL, Cybersecurity, Blockchain, Machine Learning, AI"
MBA,"Solis, Reynolds and Thomas",2003,"Norman Group; Roberts, Green and Roth; Cox-Torres; Williams Group","Deep Learning, Cybersecurity, Project Management, Mobile Development"
MBA,"Davis, Murphy and Castro",2023,"Lawson-Tran; Valentine-Walker; Chavez, Nelson and Dalton","Java, Cloud Computing, C++, AI, Data Analysis"
B.Sc,Hall and Sons,2003,"Saunders LLC; Hayes, Pierce and Anderson; Carrillo, Lewis and Williams; Allen Inc","Cloud Computing, Data Analysis, Java, Mobile Development, Deep Learning, DevOps"
M.Tech,"Johnson, Bradley and Brown",2007,"Daniels-Black; Griffin-Allen; Mccann-Bennett; Brown, Stokes and Dennis","DevOps, Mobile Development, SQL, Blockchain, Web Development, Cloud Computing, C++"
M.Sc,Joseph-Ortiz,2000,"Anderson, Smith and Davis; Cabrera, Smith and Jones; Johnson-Page","Data Analysis, Project Management, Machine Learning, DevOps"
M.Tech,"Johnston, Little and Miller",2006,"Johnson-Cooley; Donaldson, Johnson and Griffith; Beard LLC; Alexander Group","C++, Data Analysis, DevOps, Cloud Computing"
Diploma,"Ramirez, Smith and Thompson",2017,"Newton, Burns and Chang; Adams-Clark; Riley-Stone","DevOps, Machine Learning, Python, Blockchain, Java, Cloud Computing, Deep Learning"
M.Sc,Santana-Smith,2017,Blair Ltd; White-Hess,"Project Management, Data Analysis, Python, Cloud Computing, AI"
B.Sc,Ellis and Sons,2013,"Joseph, Guerrero and Lane; Jones Ltd; Reid Group; Bennett-Miller","DevOps, Mobile Development, Cloud Computing, Python, Web Development, AI"
M.Sc,Higgins Inc,2017,Hess-Stephens; Martin-Thompson,"Machine Learning, Data Analysis, AI, Deep Learning, Project Management"
M.Sc,Reed-Riley,2011,Hall-Smith,"AI, Project Management, Machine Learning, DevOps, Mobile Development, SQL"
B.Sc,Dean-Campbell,2022,Bell Ltd,"Data Analysis, AI, Cloud Computing, Project Management, Machine Learning"
MBA,Booth-Patel,2016,"Lopez Ltd; Tucker, Mclean and Dominguez; Ward, Jackson and Moore; Maldonado, Pena and Jackson","Data Analysis, SQL, Blockchain, Java, Mobile Development, Web Development"
B.Tech,"Flores, Jones and Baker",2018,"Cross, Everett and Friedman; Mclean-Freeman","AI, Blockchain, Project Management, Cybersecurity"
M.Sc,"Bolton, Taylor and Carr",2019,Hutchinson and Sons; Mejia Group; Evans-Huber; Rios LLC,"Java, C++, Machine Learning, Project Management, Web Development, Deep Learning, AI"
B.Tech,Mcconnell Group,2010,Price-Jackson,"Project Management, DevOps, C++, Java"
B.Sc,"Scott, Lynch and Mcdonald",2001,"Alvarado-Proctor; Newton PLC; Jones, Powell and Smith","Web Development, C++, SQL, Data Analysis, Python, Project Management"
M.Sc,Choi-Ashley,2016,"Turner-Lucas; Roberts-Lopez; Walsh, Williams and Brewer","Java, Project Management, SQL, C++, Cybersecurity, Deep Learning"
